# Paladin-/Geweihtensystem: Wundertabellen ab Seite 4

| **Typ** | **Name** | **Art** | **Malus** | **Min. Karma** | **RW** | **VD** | **WD** | **Wirkung** | **KPP** |
| Lloth | Verfall | Stoß | 13 | 3 | (M)/2m | 1sec | P | Spinnennetze aus Rost und/oder Schimmel (je nach Material) überziehen die Waffen und Rüstungen von Karma/3 Feinden des Klerikers. Die betroffenen Waffen erleiden einen Abzug von Karma+3 auf ihren Klingenschutz, betroffene Rüstung verlieren Karma/2 Rüstungsschutz. Der Effekt lässt sich durch die Arbeit eines fähigen Schmiedes rückgängig machen. | 50 |
| Lloth | Pestilenz | Wunder | 16 | 6 | B | 1min | P | Der Kleriker muss das erste Opfer während der gesamten Anrufung berühren.<br>Dieses Opfer Nummer 1 hat keinen Rettungswurf es wird auf jeden Fall Infiziert. Nach genau 7 Stunden wird jedes Opfer ansteckend. Jeder andere Mensch der sich dem Opfer dann auf 7m oder weniger nähert, hat eine Glücksprobe, scheitert diese so wird er ebenfalls infiziert und dann nach 7 Stunden ansteckend. Gelingt die Glücksprobe so ist das Opfer immun und kann nicht mehr mit der Pestilenz Infiziert werden.<br>Nach 21+Vitalität des Opfers Stunden erscheinen langsam die Krankheitssymptome, die Opfer fühlen sich schwach und fiebrig, auf der Haut bilden sich Gelbe und Grüne Eiterbeulen, die gerne aufplatzen und sich entzünden.<br>Die natürliche Regeneration durch z.B. Schlafen setzt komplett aus.<br>Am ersten Tag verliert das Opfer 1Punkt Gesundheit, am zweiten Tag 2Punkte, am dritten Tag 3Punkte, dann 4-5-6-7-8-9-10 usw. Um das noch mal zu verdeutlichen: Am ersten Tag hat das Opfer insgesamt 1 Punkt Gesundheit verloren, am zweiten Tag hat es insgesamt 3 Punkte Gesundheit verloren, am dritten Tag dann insgesamt 6 Punkte Gesundheit. Usw<br>Alle 2 Tage haben die Opfer eine Genesungsprobe: Konstitution erschwert um Karma x2 der Klerikers. Je nach dem wo sich die Kranke aufhalten (Gosse oder Krankenhaus mit Einzelzimmer) ist die Probe um bis zu 5 Punkte erschwert oder erleichtert. Gelinkt diese, so wird das Opfer wieder langsam Gesund. Am nächsten Tag bekommt es wieder 1 Punkt Gesundheit, am Übernächsten 2 Punkte Gesundheit, usw. Sobald die Gesundheit des Opfers wieder voll ist, gilt es als Gesund und die Natürliche Regeneration setzt wieder ein. Jetzt ist das Opfer immun und kann nicht mehr mit der Pestilenz Infiziert werden.<br>Sobald ein Opfer stirbt oder wieder Gesund ist, endet die Ansteckungsgefahr die von ihm ausgeht.<br>Meisterhinweise und Hintergrund:<br>Nur Lloth Kleriker sind immun gegen diese Pest.<br>Die Mortalitätsrate liegt bei 50%-80% je nachdem wie gut eine Stadt/Dorf gegen eine Pest gewappnet ist.<br>Ca. 33,4% der Todesopfer werden zu Wandelnden Toten „Zombies“. Diese „Zombies“ verhalten sich wie normale „Zombies“. Mit dem Unterschied, dass sie NICHT die Untotenkrankheit übertragen können. Allerdings verbreiten sie die Pestilenz.<br>Die Pestilenz ist eine Magische Krankheit Grad 8. Lässt sich allerdings nicht mit magischer mitteln als solche erkennen.<br>Dieses Wunder ist zwar nicht direkt ein Geheimnis, allerdings wird darüber so gut wie nie innerhalb der Lloth Kirche gesprochen. Das Wunder selbst wird nur an Kleriker weitergegeben, die mindestens Pfarrer/Ritterbruder sind. Der Lloth Kirche ist die verheerende Wirkung dieses „Wunders“ sehr wohl bewusst, darum wurde es in den letzten 800 Jahren nur ein einziges Mal eigesetzt. Bei der Drow Bevölkerung ist das Wunder Eigentlich überhaupt nicht bekannt. Es gibt nur ein dunkles Gerücht über „Lloth strafe“ die die trifft die den Zorn der Göttin auf sich gezogen haben. Bei den anderen Völkern ist dieses Wunder total unbekannt. | 300 |
| Lloth | Wasser zu Blut | Wunder | 10 | 1 | B | 1min | P | Auf Bitten des Klerikers verwandelt Lloth Karma Liter Wasser in feinstes, körperwarmes Elfenblut. Das auf diese Weise erschaffene Blut verhält sich wie jedes andere Elfenblut auch. | 10 |
| Lloth | Mantel der Unauffind-barkeit | Wunder | 14 | 5 | Selbst | 1min | Karma *2Std | Lloth löscht sämtliche vom Kleriker und bis zu Karma/2 befreundete Ziele, die sich innerhalb von (M)m um den Kleriker befinden, verursachten Spuren und Fährten vollständig aus. Zudem verursachen die Begünstigten während der Wirkungsdauer keinerlei Geräusche. | 130 |
| Lloth | Mantel der Schatten | Wunder | 17 | 4 | Selbst | 1min | Karma *2Min | Der Kleriker wird unsichtbar. Die Unsichtbarkeit betrifft ihn selbst und alles innerhalb seiner Aura, was nicht über eine eigene Aura verfügt. Im Kampf gegen den unsichtbaren Kleriker erhält jeder Gegner eine Behinderung von 10. | 200 |
| Lloth | Vergiften | Wunder | 13 | 3 | Selbst | 1min | Karma*min | Nach Beendigung der Anrufung ist der Speichel des Klerikers giftig. Das Gift gilt als Kontaktgift mit einer Potenz von Karma*5, es ist keine Dosiserhöhung möglich. Nach erfolgter Vergiftung eines oder mehrerer Opfer erleiden die Opfer alle 30sec eine kumulative Behinderung von +1 bis zu einer Maximalbehinderung von Karma*4. Nachdem diese Maximalbehinderung erreicht ist, nimmt die Behinderung alle 30sec wieder um einen Punkt ab. Sollte aufgrund der Behinderung die Intelligenz des Opfers auf 0 fallen, so wird es bewusstlos. Fallen Stärke oder Athletik auf 0, so wird es bewegungsunfähig. Das Gift lässt sich maximal Karma Stunden aufbewahren, danach verliert es seine Wirkung.<br>Der Speichel kann maximal Karma Liter Wasser vergiften.<br>Kleriker der Lloth sind immun gegen dieses Gift. | 120 |
| Lloth | Tod | Wunder | 16 | 6 | B | 1min | P | Der nächste Mensch, den der Kleriker nach der Anrufung berührt (Aura-Kontakt), altert um Karma*2% seiner maximal möglichen Lebensspanne. | 250 |
| Lloth | Lebens-entzug | Ritual | 21 | 7 | B | Max. Karma Std | P | Der zum Lebensspender erkorene Mensch wird für die Dauer des Rituals auf einem der Lloth geweihten Altar fixiert. Der durchführende Kleriker berührt den Lebensspender während des gesamten Rituals an Stirn und Brust. Das Opfer altert pro Stunde Ritualdauer um 10% seiner maximalen Lebensspanne, der Kleriker wird um ein Fünftel (aufgerundet) der auf diese Weise verlorenen Jahre verjüngt. | 375 |
| Khartazh | Duellsegen | Ritual | 7 | 2 | Karma*10m | 1Std | Bis zum Ende des Duells | Der Kleriker schließt die beiden Duellanten in einem undurchdringlichen Duellkreis mit 20m Radius ein. Nichts kann in diesen Kreis eindringen und Nichts kommt heraus. Der Kreis hebt sich erst auf, sobald mindestens einer der beiden Duellanten gestorben ist. Khartazh heilt den bzw. die Verstorbenen nach Beendigung des Duells wieder auf GES 1 hoch und schließt alle Blutungen.<br>Der Duellkreis ist nur durch göttliche Einwirkung aufhebbar. | 50 |
| Khartazh | Berserker | Stoß | 14 | 3 | Selbst | 1sec | Karma*min | Der Kleriker wird von Khartazh in eine wahre Kampfmaschine verwandelt. Er spürt keine Schmerzen mehr, muss somit keine SB Proben mehr würfeln und erleidet durch auf 0 LE geschlagene und abgetrennte Gliedmaßen nur die Hälfte der üblichen Kampfbehinderung (abgerundet). Desweiteren scheint seine Ausdauer geradezu unendlich zu sein, er erleidet während der Wirkungsdauer keine Ausdauerabzüge durch seine Kampfaktionen. | 60 |
| Khartazh | Abhärtung | Stoß | 14 | 3 | Selbst | 1sec | Karma*min | Der Kleriker steht unter Khartazhs Schutz, wodurch er keine kritischen und tödlichen Treffer mehr erleidet. Jeder solche gegen ihn erzielte Treffer wird als normaler Treffer auf derselben TZ gewertet. | 60 |
| Khartazh | Mehrfach-treffer | Stoß | 17 | 4 | Selbst | 1sec | Karma*min | Jede vom Kleriker ausgeführte Attacke trifft Karma/3 zusätzliche Ziele in NK Reichweite. Diese Attacken können normal vermieden werden (AW/PA). | 180 |
| Khartazh | Traum-vision | Ritual | 7 | 6 | Welt | 2Std | P | Der Kleriker schickt bei einer Bedrohung von außen den Anführern der großen Clans eine Botschaft. Die Botschaft wird beim nächsten Schlaf als Traum übermittelt und ist zweifelsfrei als Vision zu erkennen. Khartazh wählt immer besondere Helden aus die diese Vision ebenfalls erhalten und von ALLEN Orks mit dem allergrößten Respekt behandelt werden. Man nennt diese Champions von Khartazhs „Nereva“. | 77 |
| Khartazh | Schlachten-glück | Wunder | 15 | 5 | (M)*5m | 1min | Karma *10min | Der Kleriker segnet sich und entweder Karma befreundete Ziele (oder ein Regiment im Schlachtensystem). Alle von diesem Segen begünstigten Einheiten erhalten gegen FK Attacken einen Bonus in Höhe des Karmas+3 des Klerikers auf ihre Glücksprobe, um dem Schuss/Wurf/Zauber zu entgehen. | 190 |
| Khartazh | Khartazhs Wille | Ritual | 17 | 7 | (M)*20m | 1Std | Karma * Std | Der Kleriker segnet sich und entweder Karma*3 befreundete Ziele (oder drei Regimenter im Schlachtensystem). Alle von diesem Segen begünstigten Einheiten erhalten Mut +21, ATBasis+7, Selbstbeherrschung+3, Initative+11, außerdem eine LE- Regeneration von 2W6 pro Minute. Auch Gesundheit bis GES-Vit (zum Tod). | 320 |
| Khartazh | Khartazhs Intuition | Stoß | 15 | 4 | (M)*5m | 1sec | Karma *10min | Der Kleriker und Karma/3 befreundete Ziele ahnen die Attacken ihrer Gegner förmlich voraus. Sie erhalten PA- und AW-Klasse +1. | 215 |
| Khartazh | Wasser zu Met | Wunder | 10 | 1 | B | 1min | P | Auf Bitten des Klerikers verwandelt Khartazh Karma Liter Wasser in feinsten, wohltemperierten Orcischen Met. Der auf diese Weise erschaffene Met verhält sich wie jedes andere Met auch. | 10 |
| Khartazh | Sichere Hand | Stoß | 12 | 2 | Selbst | 1sec | Karma *10min | Khartazh „führt“ die Hand seines Klerikers im Kampf, wodurch der Kleriker keine katastrophalen Fehlschläge mehr unterlaufen. Sollte der Kleriker unter Einfluss dieses Wunders im NK einen Patzer werfen, so ist es ihm erlaubt, den Wurf zu wiederholen (ohne dafür einen seiner Rerolls einzusetzen). Das Gleiche gilt für Streiftreffer. Außerdem wird dem Kleriker ein zusätzlicher, kostenfreier TZ Reroll pro eigener Attacke zugestanden. | 60 |
| Nomna | Leber-schutz | Wunder | 12 | 2 | Karma x Meter | 1Min | 777Jahre | Das Ziel bekommt einen Schadenspuffer ähnlich dem Magischen Schild in Höhe von Kama x2. Dieser Puffer ist einmalig, füllt sich also nicht wieder auf. Er triggert nach dem evtl. vorhandenen Magischen Schild, aber bevor kritische oder tödliche Treffer gewertet werden. Leberschutz wirkt auch gegen Gifte und Magie. Solange noch Leberschutz vorhanden ist, kann Alkoholkonsum niemals mehr als eine leichte Trunkenheit auslösen | 30 |
| Nomna | Wissen der Göttin | Wunder | 12 | 1 | B | 1Min | Karma * Std | Eine beliebige optionale Fertigkeit (Stoßgebet, Gebet und Ritual sind hiervon ausgenommen) wird um Karma x5 Punkte erhöht, wenn der Betreffende mindestens 1 Punkt in ihr gesteigert hat. Unbekannte werden auf Karma x3 Gesetzt. Dazu gehören auch Sprachen. | 100 |
| Nomna | Handwerker- segen | Ritual | 16 | 3 | B | 1Stunde | 30 Tage | Alle Proben für das ausgewählte Handwerks werden um Karma x3 erhöht, wenn der betreffende mindestens 1 Punkt in ihr gesteigert hat. Unbekannte Handwerke werden auf Karma Gesetzt. | 70 |
| Nomna | Rache der Lügen | Ritual | 17 | 6 | B | 1Stunde | Karma * Std | Das Opfer muss die Hände auf einen (mindestens) geweihten Gegenstand legen. Sodann ist es angehalten die Wahrheit zu sagen, falls nicht, verbrennen seine Hände zu Stumpen. Die Lebensenergie beider Arme fällt dabei sofort auf 0. Das Opfer muss eine SB Probe in Höhe des gerade angerichteten Schadens abgelegen. Der Kleriker muss die ganze Zeit den Gegenstand mithalten und bekommt im Falle einer Lüge des Opfers 1W20 Heiligen (Rüstung ignorierend) Schaden auf beide Hände verteilt. | 250 |
| Nomna | Magier -segen | Wunder | 15 | 7 | B | 10 Minuten | 7 Stunden | Weisheit, (M) und Zauber Gute des Ziels werden um Karma erhöht. Das Mana erhöht sich einmalig um 50 Punkte, die allerdings nicht regeneriert werden aber auch nicht die LE Kopf angreifen wenn sie ausgegeben wurden und die Wirkung endet. | 295 |
| Nomna | Erzvision | Wunder | 7 | 1 | Selbst | 1min | Karma *2min | Die Augen des Klerikers verwandeln für die Wirkungsdauer in reines Adamantit. Jegliche Materie, sei es magische oder unmagische, wird für den Kleriker unsichtbar. Die einzige Ausnahme hierzu bilden Erzadern, Kohleflöze und Edelsteinvorkommen. Diese kann der Kleriker auf Sichtweite (ca. 5km) erkennen. | 50 |
| Nomna | Wasser zu Bier | Wunder | 10 | 1 | B | 1min | P | Auf Bitten des Klerikers verwandelt Nomna Karma Liter Wasser in feinstes, wohltemperiertes Zwergisches Starkbier. Das auf diese Weise erschaffene Starkbier verhält sich wie jedes andere Starkbier auch. | 10 |
| Nomna | Stärke des Erzes | Wunder | 15 | 3 | B | 5min | Karma * Std | Ein Gegenstand (z.B.: Schwert, Tür, Harnisch, Stein) wird um ein Vielfaches härter und stabiler als er vorher war. Die Stabilität des Gegenstands erhöht sich um den Faktor Karma*2. Bei Gegenständen mit einem Stabilitätswert erhöht sich derselbige, bei Gegenständen ohne diesen Wert erhöht sich die LE.<br>Beispiel 1: Ein Kleriker mit Karma 5 „verzaubert“ ein Schwert mit KS 15. Nach der erfolgreichen Anrufung beträgt der KS 150.<br>Beispiel 2: Ein Kürass mit RS 5 wird von demselben Kleriker „verzaubert“. Nach erfolgreicher Anrufung beträgt der RS 50.<br>Beispiel 3: Derselbe Kleriker „verzaubert“ nun auch noch eine Tür mit LE 20, bringt die Anrufung tatsächlich erfolgreich zu Ende und erhöht somit die LE der Tür auf 200. | 205 |
| Nomna | Ewige Seele | Ritual | 16 | 6 | B | 7Std | P | Die willige Seele eines Nomna-Gläubigen wird durch dieses Ritual in einen mindestens faustgroßen Seelenstein gebannt. Die Stabilität des Seelensteins erhöht sich hierdurch um den Faktor 100. Solange der Seelenstein Bestand hat, existiert auch die Seele weiter. | 385 |
| Nomna | Weisheit der Ahnen | Wunder | 10 | 4 | B | 1min | 7Std | Nomna gewährt einer Ewigen Seele (siehe Wunder Ewige Seele) die Fähigkeit, als Abbild seines früheren Ichs in Erscheinung zu treten. Dieses Abbild ist leicht durchscheinend und physisch und magisch nicht berührbar. Es verfügt über die Fähigkeit, sich innerhalb eines Radius von 7m um den Seelenstein frei im Raum zu bewegen. Weiterhin ist es der Seele möglich, verbal zu kommunizieren. Die Stimme klingt allerdings sehr hohl und substanzlos. Die Ewige Seele verfügt über die gesammelte Erfahrung und Weisheit, die ihr auch zu Lebzeiten zur Verfügung standen, sowie über alles Wissen aus ihrem ursprünglichen Leben und eventuellen früheren Anrufungen. Die Gesinnung der Ewigen Seele entspricht ihrer Gesinnung zu Lebzeiten. Mit Ausnahme der verbalen Kommunikation ist der Seele nicht möglich, in irgendeiner Form Einfluss auf die Welt zu nehmen. | 70 |
| Nomna | Krieger -segen | Wunder | 15 | 7 | B | 10min | 7Std | NK gAT, FK gAT sowie NK- und FK-Schaden des Ziels werden um Karma erhöht. Außerdem wird die Gesundheit des Ziels um Karma*2 erhöht. Diese Gesundheitserhöhung kann nicht regeneriert werden, wird dem Ziel aber nach Ablauf der Wirkungsdauer auch nicht weiter abgezogen als bis zu seinem „natürlichen“ Gesundheitsstand. | 295 |
| Tepod | Wasser zu Nektar | Wunder | 10 | 1 | B | 1min | P | Auf Bitten des Klerikers verwandeln die Götter Karma Liter Wasser in feinsten Nektar. Der auf diese Weise erschaffene Nektar verhält sich wie jeder andere Nektar auch. | 10 |
| Tepod | Cenalias Segen | Wunder | 14 | 5 | Selbst | 1min | Karma *2Std | Cenalia segnet die Jagdgruppe des Klerikers (Kleriker sowie bis zu Karma/2 befreundete Ziele, die sich innerhalb von (M)m um den Kleriker befinden), woraufhin sie die Fährte ihrer vorher festgelegten Beute sehen, egal ob diese vorher vorhanden war oder nicht. Zudem verbirgt Cenalia die Witterung der Gruppe vor ihrer Beute. | 130 |
| Tepod | [Segen des Ausgestoßenen Schmiedes] | Wunder | 12 | 2 | Karma x Meter | 1Min | Karma Std | Das Ziel ignoriert während der Wirkungsdauer Karma*2 Punkte Behinderung. Er wirkt gegen jede Form bereits erlittener als auch noch eventuell zu erleidender Behinderung. | 30 |
| Tepod |  | Ritual | 7 | 4 | (M)m | 1Std. | P | Der Kleriker formt organische Gegenstände mit einem maximalen Volumen von Karma m³ in eine frühere Form, die diese(s) Objekt(e) bereits einmal inne hatte, zurück. Die exakte Wahl der früheren Form obliegt dem Kleriker. Das/die Zielobjekt(e) verhalten sich nach Abschluss des Rituals normal, sprich verfallen/altern in ihrem natürlichen Tempo. | 50 |
| Tepod |  | Ritual | 16 | 5 | B | 1Std. | P | Der Kleriker kann durch einen beliebigen Baum zu einem anderen Baum teleportieren. Hierbei gelten folgende Einschränkungen:<br>Ist der Ausgangspunkt ein Uribenbaum, so kann der Kleriker zu jedem Uribenbaum, mit dem er sich bereits verbunden hat, teleportieren.<br>Ist der Ausgungspunkt ein „gewöhnlicher“ Baum, so ist dem Kleriker die Teleportation zum nächsten Uribenbaum, mit dem er sich bereits verbunden hat, möglich.<br>Der Kleriker kann hierbei durch Karma/2 Gefährten begleitet werden. Diese müssen Kleriker während der gesamten Ritualdauer berühren. Für jeden Mitreisenden erhöhen sich die Karmapoolpunktkosten um 10. | 100 |
| Tepod |  | Wunder | 11 | 3 | Selbst | 1Min | Karma Min | Dem Kleriker wird für die Wirkungsdauer eine Vision der Wahrnehmung aller Pflanzen im Umkreis von Karma/2 km gewährt. Dies beinhaltet zunächst nur Tastempfindungen, es sei denn, es befinden sich magische Flora mit zusätzlichen Sinnesorganen im Wirkungsbereich.<br>Während der Wirkungsdauer muss der Kleriker regungslos verharren und ist keinerlei Kommunikation mächtig. Die normale Wahrnehmung des Klerikers wird auf den Tastsinn reduziert.<br>Der Kleriker kann seine Trance jederzeit beenden. Nach dem Erwachen aus der Trance ist der Kleriker für W4 Minuten desorientiert, was sich in einer Behinderung von W4 widerspiegelt. | 77 |
| Tepod |  | Wunder | 17 | 4 | Selbst | 1Min | Karma Min | Dem Kleriker wird für die Wirkungsdauer eine Vision der Wahrnehmung aller Tiere im Umkreis von Karma/2 km gewährt.<br>Während der Wirkungsdauer muss der Kleriker regungslos verharren und ist keinerlei Kommunikation mächtig. Die normale Wahrnehmung des Klerikers wird auf den Tastsinn reduziert.<br>Der Kleriker kann seine Trance jederzeit beenden. Nach dem Erwachen aus der Trance ist der Kleriker für W4 Minuten desorientiert, was sich in einer Behinderung von W4 widerspiegelt. | 90 |
| Tepod | [Göttin 7s Gabe] | Ritual | 21 | 7 | B | Max. Karma Std | P | Die Göttin der Heilung und Jugend verjüngt durch den Kleriker das Ziel um Karma% der maximalen Lebensspanne pro Stunde.<br>Das Ziel muss während der gesamten Ritualdauer in direktem Kontakt zu einem Uribenbaum stehen. | 425 |
| Tepod | [Ewige Seele] | Ritual | 16 | 6 | B | 7Std | P | Die willige Seele eines Tepod-Gläubigen wird durch dieses Ritual in einen Uribenbaum geführt. Solange der Uribenbaum lebt, existiert auch die Seele weiter. | 385 |
